score,cleaned_content,sentiment_before,sentiment_after
5,tolong baik robloxnya error sih udah ngechat udah robux keluarin pas masuk roblox loding sihh banget lodingnya jaring bagus dah roblox udah kagak bagus udah buruk,positif,negatif
5,mohon maaf roblox keluh game lanjut ganggu game favorit sengaja neg masuk mini game ada neg fitur copot game lanjut sengaja neg masuk fitur lanjut terima kasih mohon timbang usaha baik roblox,positif,negatif
2,senang main game main makasih roblox,negatif,positif
3,geme seru banget chat hapus ayo tolong david bazuki,netral,positif
1,game jwlss,negatif,positif
3,kembaliin cht cht temen,netral,negatif
3,suka gag,netral,positif
1,geme bagus neg,negatif,positif
5,anak roblok nieehhh,positif,negatif
3,best pokonyaaa stay main klian hrus sownlod aws klo now down yah downlod,netral,positif
3,game nya bagus kalo dimainin neg hari update trus kouta wifi lancar bug trus map donate robux asli banget ngambil potong robux nya udah didonate robux masuk robux tolong baik trus frefikasi muka benci bangat kalo pakai muka muka gitu umur udah kasih umur jijik banget sumpah,netral,negatif
3,game nya bagus temen mabar saran tuh hilangin bug nya segitu aja terimakasih,netral,positif
1,seru aja yaaa bakso malang livetopia seruuuuu bgt chat segitu aja kali yaudah deh bayyy love you roblox,negatif,positif
3,roblox jelas neg chat batas,netral,negatif
1,bagus minus main suatu mep gelek,negatif,positif
1,mantap,negatif,positif
1,loginnnn,negatif,positif
5,main bug sma orang suka jahilin,positif,negatif
3,tolong band game fish karna gara gara fish boleh neg main roblox tolong game game update lumayan sih,netral,positif
3,bagus game nya malas nya update update aja baik terlalu neg update memori penuh,netral,positif
3,game nya seru bug nya suka ngeleg karna game nya suka hehehe,netral,positif
3,permainanya soun sulit,netral,negatif
2,game nya bagus bisa neg ngechat player umur batasin,negatif,positif
3,suka roblox game batas karna main tab harga nya nama tab nya smartkids anak anak umur akun batas kagak banget tab nya mau neg mainin roblox gaca life and club aja bagus di neg bisik suka banget lucu cute and love gacha life and club,netral,positif
3,tolong aman akun kuat orang bisa neg masuk akun aman saja,netral,negatif
4,nyuruh update mulu gasuka jir mana robux,positif,negatif
3,bug nya baik saran banned cheater script rugi main dngn curang roblox sering neg update banyak org memori hpnya penuh gara roblox update jdi unistall lgi main jdi ribet roblox sering ngecek kondisi game nya map kadang bnyk map pantas neg main map ibadah jadi tdk senonoh,netral,negatif
1,nice,negatif,positif
3,bagus sih atur atur setujuin aja atur rugi,netral,positif
3,kangen roblox dluu roblox ngelag bgttt kalo bisa neg chat laa tapi lagg banget yaallahhhh dlu roblox chat pernah neg lagggggggg lag sihhhhh huhh gtw malesssss,netral,negatif
3,game nglag dincornneck,netral,positif
1,gamenya bagus kadang bisa neg login,negatif,positif
3,gamenya bagus kalo update kosong simpan main,netral,positif
1,roblok tolong game soun horek kembali tolong ya,negatif,positif
4,maaf kasih bintang gamenya pas udah tuh trs suruh panggil ortu langsung pindah udah hadeh,positif,negatif
