reviewId,content,cleaned_content,label,labeled_at
558223e4-5583-4e9f-91ff-af8183de81e3,berapa game berat dan lambat. tolong buat lebih ringan dan bisa dimainkan semua phonsel,game berat lambat tolong ringan main phonsel,negatif,2026-05-14T00:52:21
c661a634-2c5b-4d46-9f14-e03f57335964,harusnya bisa chat bg,chat,netral,2026-05-14T00:56:54
251cc73a-92ed-46a0-b7c0-94b1826312a7,bagus,bagus,positif,2026-05-14T00:57:03
ba60a477-2cb0-456b-9e58-2ef126bd8644,ini sangat bagus 👍,bagus,positif,2026-05-14T00:57:08
77b228ce-9691-4a4e-87dd-2d537ab5998d,game asu,game asu,negatif,2026-05-14T00:57:14
7bb62289-78ea-4639-afea-ce9f3aaf759a,enak main nya🥰,enak main nya,positif,2026-05-14T00:57:19
f2835a10-f742-4d26-afa2-38bb2caf9853,baru masuk keluar sendiri mau bikin hp nenek saya error kali,masuk bikin nenek error kali,negatif,2026-05-14T00:57:37
d23471e9-7d53-452b-be32-d8bd221c3a03,game nya bagus dan bisa meningkat kan kreatifitas kita dan kualitas game bagus mantap joss jiss,game nya bagus tingkat kreatifitas kualitas game bagus mantap joss jiss,positif,2026-05-14T00:57:47
3be4a93a-9f0b-4f97-b040-d9a0ace2c0c7,bagus,bagus,positif,2026-05-14T00:57:52
505033fb-3dcd-425d-ba08-424bdfba3c0f,Menurut aku bagus bangett,bagus bangett,positif,2026-05-14T00:58:29
15fcee79-0e30-4495-b110-a946018762e9,kembalikan fitur chat jing,kembali fitur chat jing,negatif,2026-05-14T00:58:35
70a0d694-46a9-453f-9618-53030bf1f702,saya menemukan bug/glitch di roblox! saat Saya masuk ke map Roblox layar saya tiba tiba nge glitch dan burem! tolong perbaiki sekarang!,temu bug glitch roblox masuk map roblox layar nge glitch burem tolong baik,negatif,2026-05-14T00:58:43
cbbd626c-8b8a-4182-b8a8-a6df28d97f0c,Bagus sekali dengan cara yang paling indah yang harus dilakukan dengan berbagai cara yang paling indah,bagus indah indah,positif,2026-05-14T00:58:50
6ac3f4c7-ed75-4bd7-9dc8-676125567fa9,jlek ga bisa chat lag,jlek bisa neg chat lag,negatif,2026-05-14T00:58:56
2f2d10b6-c680-4ea3-9f91-1d64a5dc6d86,bagus,bagus,positif,2026-05-14T00:59:01
61b3db9f-f4a4-4f43-83b4-76b11e77f622,bring back chat feature,bring back chat feature,negatif,2026-05-14T00:59:09
